school,department,n_faculty,n_with_scholar,n_with_openalex,median_h,mean_h,max_h,median_fwci,mean_fwci,median_works,total_scholar_citations,total_openalex_citations,noisy
Chaifetz School of Business,Accounting,7,3,6,9,7.3,11,1.64,1.93,27,5257,4991,
Chaifetz School of Business,Economics,6,5,5,7,7.6,11,0.51,0.51,38,3051,4868,
Chaifetz School of Business,Finance,7,5,6,7,9.0,23,3.97,7.49,22,4622,3537,
Chaifetz School of Business,International Business,5,4,4,8,15.0,40,1.83,2.04,24,8350,4317,
Chaifetz School of Business,Management,10,6,6,27,25.2,39,1.00,1.29,78,35763,17504,
Chaifetz School of Business,Marketing,6,4,4,16,18.2,28,2.00,1.98,25,22535,12210,
Chaifetz School of Business,Office of the Dean,1,1,1,35,35.0,35,2.38,2.38,68,13811,3805,yes
Chaifetz School of Business,Operations & Information Technology Management,8,6,4,8,8.8,17,1.12,1.12,30,6255,2166,
College for Public Health and Social Justice,Behavioral Science and Health Equity,7,4,5,26,22.5,30,0.83,0.98,69,10660,10531,
College for Public Health and Social Justice,Epidemiology and Biostatistics,12,7,9,32,39.3,72,1.43,2.42,93,56420,60955,
College for Public Health and Social Justice,Health Management and Policy,8,1,8,29,29.0,29,1.34,1.67,98,5952,16167,
College of Arts and Sciences,African American Studies,4,0,2,,,,1.91,1.91,36,,483,yes
College of Arts and Sciences,American Studies,5,0,2,,,,,,28,,533,
College of Arts and Sciences,Biology,32,13,25,22,22.3,39,1.86,3.09,33,34587,45190,
College of Arts and Sciences,Communication,12,4,10,9,10.5,21,1.62,1.71,16,2958,2590,
College of Arts and Sciences,English,21,5,13,10,10.8,18,0.50,0.50,28,5166,4586,
College of Arts and Sciences,Health Care Ethics,6,2,5,6,6.0,8,2.06,2.06,26,398,1113,
College of Arts and Sciences,History,17,1,13,9,9.0,9,0.82,0.82,36,334,1707,
College of Arts and Sciences,"Linguistics, Literatures and Cultures",12,4,5,6,6.0,8,1.60,1.31,16,596,551,
College of Arts and Sciences,Mathematics and Statistics,23,5,17,9,10.8,16,0.42,1.12,26,2090,4057,
College of Arts and Sciences,Philosophy,22,8,17,15,20.1,48,1.00,1.78,33,22212,12931,
College of Arts and Sciences,Political Science,13,5,10,10,10.2,13,0.83,0.78,31,2281,2267,
College of Arts and Sciences,Psychology,26,5,23,28,26.0,45,0.79,1.23,47,21739,52336,
College of Arts and Sciences,Sociology and Anthropology,14,5,9,6,6.8,10,1.00,1.45,35,2589,7114,
College of Arts and Sciences,Theological Studies,22,2,11,7,7.0,10,0.42,0.40,32,806,859,
College of Arts and Sciences,Visual and Performing Arts,4,0,2,,,,,,8,,64,yes
