school,department,raw_name,norm_name,slu_url,is_madrid,is_emeritus,bio_h1,degree
Chaifetz School of Business,(unknown),"Scott Duellman, Ph.D.",scott duellman,https://www.slu.edu/business/about/faculty/duellman-scott.php,False,False,,Ph.D.
Chaifetz School of Business,(unknown),"Helen Hurwitz, Ph.D.",helen hurwitz,https://www.slu.edu/business/about/faculty/hurwitz-helen.php,False,False,,Ph.D.
Chaifetz School of Business,(unknown),Neil Jansen,neil jansen,https://www.slu.edu/business/about/faculty/jansen-neil.php,False,False,"Neil Jansen, MPA, CPA",
Chaifetz School of Business,(unknown),"Mindy Kim, Ph.D.",mindy kim,https://www.slu.edu/business/about/faculty/kim-mindy.php,False,False,,Ph.D.
Chaifetz School of Business,(unknown),Debbie Pike,debbie pike,https://www.slu.edu/business/about/faculty/pike-debbie.php,False,False,"Debbie Pike, MBA",
Chaifetz School of Business,(unknown),"Yan Sun, Ph.D.",yan sun,https://www.slu.edu/business/about/faculty/sun-yan.php,False,False,,Ph.D.
Chaifetz School of Business,(unknown),"Weimin Wang, Ph.D.",weimin wang,https://www.slu.edu/business/about/faculty/wang-weimin.php,False,False,,Ph.D.
Chaifetz School of Business,(unknown),"Xu (Frank) Wang, Ph.D.",xu wang,https://www.slu.edu/business/about/faculty/wang-xu-frank.php,False,False,,Ph.D.
Chaifetz School of Business,(unknown),"Lei Zhao, Ph.D.",lei zhao,https://www.slu.edu/business/about/faculty/zhao-lei.php,False,False,,Ph.D.
Chaifetz School of Business,Emeritus,"John Keithley, Ph.D.",john keithley,https://www.slu.edu/business/about/faculty/keithley-john.php,False,True,,Ph.D.
Chaifetz School of Business,Emeritus,"Heather Bednarek, Ph.D.",heather bednarek,https://www.slu.edu/business/about/faculty/bednarek-heather.php,False,True,,Ph.D.
Chaifetz School of Business,Emeritus,"Muhammad Islam, Ph.D.",muhammad islam,https://www.slu.edu/business/about/faculty/islam-muhammad.php,False,True,,Ph.D.
Chaifetz School of Business,Emeritus,"Fei Jia, Ph.D.",fei jia,https://www.slu.edu/business/about/faculty/jia-fei.php,False,True,,Ph.D.
Chaifetz School of Business,Emeritus,"Hailong Qian, Ph.D.",hailong qian,https://www.slu.edu/business/about/faculty/qian-hailong.php,False,True,,Ph.D.
