topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name
T14423,Military Technology and Strategies,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T10346,Magnetic confinement fusion research,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences
T13370,Diverse Scientific and Economic Studies,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences
T12157,Geochemistry and Geologic Mapping,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences
T10451,Mycorrhizal Fungi and Plant Interactions,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T10978,Prenatal Screening and Diagnostics,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences
T11367,Particle accelerators and beam dynamics,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T10895,Species Distribution and Climate Change,2302,Ecological Modeling,23,Environmental Science,3,Physical Sciences
T12859,Cell Image Analysis Techniques,1304,Biophysics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T12692,Magnetic Field Sensors Techniques,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T13497,Hermeneutics and Narrative Identity,1211,Philosophy,12,Arts and Humanities,2,Social Sciences
T13638,Human auditory perception and evaluation,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T10781,Plasma Diagnostics and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T12760,Laser Design and Applications,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T11881,Crystallization and Solubility Studies,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences
T11893,German Literature and Culture Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences
T10384,Laser-Plasma Interactions and Diagnostics,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences
T11475,French Urban and Social Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T11803,Superconducting and THz Device Technology,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences
T10015,Genomics and Phylogenetic Studies,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10165,Classical Antiquity Studies,3314,Anthropology,33,Social Sciences,2,Social Sciences
T11044,Particle Detector Development and Performance,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences
T10733,Wheat and Barley Genetics and Pathology,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T10941,Musicology and Musical Analysis,1210,Music,12,Arts and Humanities,2,Social Sciences
T14380,Libraries and Information Services,1209,Museology,12,Arts and Humanities,2,Social Sciences
T11175,Gyrotron and Vacuum Electronics Research,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences
T12837,American Environmental and Regional History,2308,"Management, Monitoring, Policy and Law",23,Environmental Science,3,Physical Sciences
T11662,Legal Cases and Commentary,2743,Reproductive Medicine,27,Medicine,4,Health Sciences
T11926,Subterranean biodiversity and taxonomy,1911,Paleontology,19,Earth and Planetary Sciences,3,Physical Sciences
T13958,"Education, Innovation and Language Studies",3304,Education,33,Social Sciences,2,Social Sciences
T13445,American Constitutional Law and Politics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences
T10591,Theoretical and Computational Physics,3104,Condensed Matter Physics,31,Physics and Astronomy,3,Physical Sciences
T10251,Solar and Space Plasma Dynamics,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences
T10048,Particle physics theoretical and experimental studies,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences
T13085,"Education, Psychology, and Social Research",3304,Education,33,Social Sciences,2,Social Sciences
T10744,Astrophysical Phenomena and Observations,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences
T11986,Scientific Computing and Data Management,1802,Information Systems and Management,18,Decision Sciences,2,Social Sciences
T12565,Physics and Engineering Research Articles,2206,Computational Mechanics,22,Engineering,3,Physical Sciences
T10252,Microbial Natural Products and Biosynthesis,2736,Pharmacology,27,Medicine,4,Health Sciences
T11974,Lepidoptera: Biology and Taxonomy,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T13650,Computational Physics and Python Applications,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences
T10362,Biblical Studies and Interpretation,1212,Religious studies,12,Arts and Humanities,2,Social Sciences
T12633,Legal case studies and regulations,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences
T12930,Biomedical and Chemical Research,2746,Surgery,27,Medicine,4,Health Sciences
T10017,Geology and Paleoclimatology Research,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences
T10893,Chinese history and philosophy,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T12409,Reformation and Early Modern Christianity,1202,History,12,Arts and Humanities,2,Social Sciences
T10885,Gene expression and cancer classification,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10001,Geological and Geochemical Analysis,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences
T11937,Research Data Management Practices,1710,Information Systems,17,Computer Science,3,Physical Sciences
T11993,Atomic and Subatomic Physics Research,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences
T12713,Forest Ecology and Biodiversity Studies,1109,Insect Science,11,Agricultural and Biological Sciences,1,Life Sciences
T12552,Fetal and Pediatric Neurological Disorders,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences
T12826,Education Methods and Technologies,3304,Education,33,Social Sciences,2,Social Sciences
T13167,"Historical, Literary, and Cultural Studies",1205,Classics,12,Arts and Humanities,2,Social Sciences
T13459,Public Administration and Political Analysis,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences
T11312,Soil Moisture and Remote Sensing,2305,Environmental Engineering,23,Environmental Science,3,Physical Sciences
T13710,European and International Law Studies,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences
T13297,History and advancements in chemistry,1606,Physical and Theoretical Chemistry,16,Chemistry,3,Physical Sciences
T13641,Historical Studies and Socio-cultural Analysis,1207,History and Philosophy of Science,12,Arts and Humanities,2,Social Sciences
T12797,History of Computing Technologies,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences
T12836,History and Developments in Astronomy,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences
T12455,Mediterranean and Iberian flora and fauna,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T12527,Chemistry and Stereochemistry Studies,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences
T12917,Astronomy and Astrophysical Research,3105,Instrumentation,31,Physics and Astronomy,3,Physical Sciences
T12012,Diatoms and Algae Research,2502,Biomaterials,25,Materials Science,3,Physical Sciences
T13884,Educational Leadership and Practices,3304,Education,33,Social Sciences,2,Social Sciences
T13624,Social Sciences and Policies,3300,General Social Sciences,33,Social Sciences,2,Social Sciences
T10995,Methane Hydrates and Related Phenomena,2304,Environmental Chemistry,23,Environmental Science,3,Physical Sciences
T13396,Agriculture and Rural Development Research,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
T12954,Law and Political Science,3308,Law,33,Social Sciences,2,Social Sciences
T13937,"Genetics, Bioinformatics, and Biomedical Research",1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T12983,Satellite Image Processing and Photogrammetry,2212,Ocean Engineering,22,Engineering,3,Physical Sciences
T10325,Astro and Planetary Science,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences
T10290,Pregnancy and preeclampsia studies,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences
T10597,Nuclear reactor physics and engineering,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
